"question","answer"
"What are the symptoms of botulism poisoning?","Symptoms of botulism usually begin 12 to 36 hours after eating the contaminated food and may include headache, blurred vision, muscle weakness and eventual paralysis. Some people also have nausea and vomiting, constipation, urinary retention, difficulty breathing, and a dry mouth. These symptoms require immediate medical attention."
"What is CPR?","Cardiopulmonary resuscitation (CPR) is a lifesaving technique used in emergencies, such as a heart attack or near drowning, in which someone's breathing or heartbeat has stopped."
"What is the American Heart Association's recommendation for starting CPR?","The American Heart Association recommends starting CPR with hard and fast chest compressions. This hands-only CPR recommendation applies to both untrained bystanders and first responders."
"What should you do if you're afraid or unsure how to perform CPR correctly?","If you're afraid to do CPR or unsure how to perform CPR correctly, know that it's always better to try than to do nothing at all. The difference between doing something and doing nothing could be someone's life."
"What should you do if you're untrained in CPR or worried about giving rescue breaths?","If you're not trained in CPR or worried about giving rescue breaths, then provide hands-only CPR. That means uninterrupted chest compressions of 100 to 120 a minute until paramedics arrive. You don't need to try rescue breathing."
"What should you do if you're well-trained and confident in your ability to perform CPR?","If you're well-trained and confident in your ability, check to see if there is a pulse and breathing. If there is no pulse or breathing within 10 seconds, begin chest compressions. Start CPR with 30 chest compressions before giving two rescue breaths."
"What should you do if you've previously received CPR training but you're not confident in your abilities?","If you've previously received CPR training but you're not confident in your abilities, then just do chest compressions at a rate of 100 to 120 a minute."
"Does the above advice apply to newborns?","No, the above advice applies to situations in which adults, children and infants need CPR, but not newborns (infants up to 4 weeks old)."
"What is the purpose of CPR?","CPR can keep oxygen-rich blood flowing to the brain and other organs until emergency medical treatment can restore a typical heart rhythm. When the heart stops, the body no longer gets oxygen-rich blood. The lack of oxygen-rich blood can cause brain damage in only a few minutes."
"What should you do if you are untrained and need to perform CPR?","If you are untrained and have immediate access to a phone, call 911 or your local emergency number before beginning CPR. The dispatcher can instruct you in the proper procedures until help arrives. To learn CPR properly, take an accredited first-aid training course, including CPR and how to use an automated external defibrillator (AED)."
"What should you check before starting CPR?","Before starting CPR, you should check if the environment is safe for the person and if the person is conscious or unconscious. If the person appears unconscious, tap or shake his or her shoulder and ask loudly, 'Are you OK?'"
"What should you do if the person is unconscious and doesn't respond?","If the person is unconscious and doesn't respond, and you're with another person who can help, have one person call 911 or the local emergency number and get the automated external defibrillator (AED), if one is available. Have the other person begin CPR. If you are alone and have immediate access to a telephone, call 911 or your local emergency number before beginning CPR. Get the AED if one is available."
"What is the order of steps to perform CPR?","The American Heart Association uses the letters C-A-B to help people remember the order to perform the steps of CPR. C stands for compressions, A stands for airway, and B stands for breathing."
"What is the most important step in CPR?","Compressions are the most important step in CPR. Compressions mean you'll use your hands to push down hard and fast in a specific way on the person's chest to restore blood flow."
"What are the steps for performing CPR compressions?","To perform CPR compressions, put the person on his or her back on a firm surface, kneel next to the person's neck and shoulders, place the lower palm (heel) of your hand over the center of the person's chest between the nipples, place your other hand on top of the first hand, keep your elbows straight and position your shoulders directly above your hands, push straight down on (compress) the chest at least 2 inches (5 centimeters) but no more than 2.4 inches (6 centimeters), use your entire body weight (not just your arms) when doing compressions, push hard at a rate of 100 to 120 compressions a minute, and allow the chest to spring back (recoil) after each push. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical personnel take over. If you have been trained in CPR, go on to opening the airway and rescue breathing."
"What should you do after performing 30 chest compressions during CPR?","If you're trained in CPR and you've performed 30 chest compressions, open the person's airway using the head-tilt, chin-lift maneuver."
"How do you open the airway during CPR?","Put your palm on the person's forehead and gently tilt the head back. Then with the other hand, gently lift the chin forward to open the airway."
"What is rescue breathing in CPR?","Rescue breathing can be mouth-to-mouth breathing or mouth-to-nose breathing if the mouth is seriously injured or can't be opened. Current recommendations suggest performing rescue breathing using a bag-mask device with a high-efficiency particulate air (HEPA) filter."
"How do you perform mouth-to-mouth rescue breathing during CPR?","After opening the airway (using the head-tilt, chin-lift maneuver), pinch the nostrils shut for mouth-to-mouth breathing and cover the person's mouth with yours, making a seal. Prepare to give two rescue breaths. Give the first rescue breath — lasting one second — and watch to see if the chest rises. If the chest rises, give a second breath. If the chest doesn't rise, repeat the head-tilt, chin-lift maneuver and then give a second breath. Thirty chest compressions followed by two rescue breaths is considered one cycle. Be careful not to provide too many breaths or to breathe with too much force."
"What should you do after giving rescue breaths during CPR?","Resume chest compressions to restore blood flow."
"What should you do as soon as an automated external defibrillator (AED) is available during CPR?","Apply it and follow the prompts. Give one shock, then resume chest compressions for two more minutes before giving a second shock."
"What should you do if you're not trained to use an AED during CPR?","A 911 operator or another emergency medical operator may be able to give you instructions."
"When should you stop performing CPR?","Continue CPR until there are signs of movement or emergency medical personnel take over."
